Title,Description,ReleaseDate
Asura,A shady cop finds himself in over his head when he gets caught between Internal Affairs and the city's corrupt mayor., 2016
Complete Unknown,"As a man contemplates moving to a new state with his wife for her graduate program, an old flame ", 2016
Vaxxed: From Cover-Up to Catastrophe,"A documentary alleging that the CDC, the government agency charged with protecting the health of American citizens, destroyed data on their 2004 study that allegedly showed a link between the MMR vaccine and autism.", 2016
Michael Moore in TrumpLand,"In the weeks before the 2016 general election, Oscar", 2016
Kicks,"Brandon is a 15 year old whose dream is a pair of fresh Air Jordans. Soon after he gets his hands on them, they're stolen by a local hood, causing Brandon and his two friends to go on a dangerous mission through Oakland to retrieve them.", 2016
The Masked Saint,A pastor and professional wrestler accepts a position at a struggling church where he helps the community both in his official capacity and as his alter ego The Saint., 2016
La tortue rouge,The dialogue, 2016
Gwi-hyang,"Two Korean girls, Jung", 2016
Caged No More,"Inspired by real events, CAGED NO MORE is the story of Aggie Prejean, a grandmother on a desperate search to find her two granddaughters, Skye and Elle, who have been kidnapped by their ...                ", 2016
Eva Hesse,"Documentary feature film focusing on the life and times of Eva Hesse, a ground", 2016
Kaptaan,A lawyer rethinks his life after he works with an NGO., 2016
Zero Days,"A documentary focused on Stuxnet, a piece of self", 2016
Best Worst Thing That Ever Could Have Happened...,This film from acclaimed theater director Lonny Price charts the journey of the original cast of Stephen Sondheim's , 2016
Demon,"When three average teenagers come up with the crazy idea to summon a demon, they summon the nefarious Demon, and things go horribly wrong.", 2016
Cameraperson,"Exposing her role behind the camera, Kirsten Johnson reaches into the vast trove of footage she has shot over decades around the world. What emerges is a visually bold memoir and a revelatory interrogation of the power of the camera.", 2016
Bongyi Kimseondal,Based on the popular conman character of KIM Seon, 2016
Qing Sheng,"Xia Dongsheng, a man with deep anxiety which was caused by him witnessing a tragic death of his schoolmate leads a boring life for forty years. The married man then takes the decision to ...                ", 2016
Tower,"Animation, testimony, and archival footage combine to relate the events of August 1, 1966 when a gunman opened fire from the University of Texas clock tower, killing 16 people.", 2016
So Young 2: Never Gone,"Years after breaking up, former lovers Su and Cheng are successful, each with new lovers, and find themselves living in the same neighborhood. Will the passions of the past come to blossom following a family tragedy", 2016
Ik wil gelukkig zijn,Fien de la Mar , 2016
Morris from America,The romantic and coming, 2016
Author: The JT LeRoy Story,"The story behind literary persona JT LeRoy, the fictional writer created by American author Laura Albert.", 2016
Sufat Chol,"When their entire lives shatter, two Bedouin women struggle to change the unchangeable rules, each in her own individual way.", 2016
Zhui xiong zhe ye,A widowed father and tow truck operator is given two days to clear his name of a murder he did not commit., 2016
Chongtian huo,"A security guard becomes embroiled in a battle to protect stem cell research, which can potentially cure cancer, from falling into the wrong hands.", 2016
Saala Khadoos,The story of a former boxer who quits boxing following a fallout with the authorities over the underlying politics but goes on to coach a fisherwoman to fulfill his dream through her., 2016
Forushande,Forushande , 2016
Remember the Goal,A new female coach fresh out of college takes over the cross country program at an all girls private Christian school and tries to lead them to their first state title., 2016
Norman Lear: Just Another Version of You,"A look at the life, work and political activism of one of the most successful television producers of all time, Norman Lear.", 2016
San shao ye de jian,"Hong Kong cinema giants Derek Yee and Tsui Hark join forces in this 3D martial arts epic, about an elite swordsman who is haunted by his skill, and a challenger who aims to take his place at all costs.", 2016
Until Forever,Until Forever, 2016
Star Wars: Episode VII - The Force Awakens,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance.", 2015
Jurassic World,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.", 2015
Avengers: Age of Ultron,When Tony Stark and Bruce Banner try to jump, 2015
Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions ", 2015
Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother., 2015
Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super", 2015
The Hunger Games: Mockingjay - Part 2,"As the war of Panem escalates to the destruction of other districts, Katniss Everdeen, the reluctant leader of the rebellion, must bring together an army against President Snow, while all she holds dear hangs in the balance.", 2015
The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.", 2015
Cinderella,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her scheming step", 2015
Spectre,"A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.", 2015
Mission: Impossible - Rogue Nation,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate ", 2015
The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team., 2015
Pitch Perfect 2,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.", 2015
Ant-Man,Armed with a super, 2015
Home,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.", 2015
Hotel Transylvania 2,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.", 2015
Fifty Shades of Grey,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.", 2015
